ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
02047,"SALT,TABLE",0.2,0,0,0,99.8,0,0,0,24,0.33,1,0,8,38758,0.1,0.03,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1 tsp,18,1 tbsp
02048,"VINEGAR,CIDER",93.81,21,0,0,0.17,0.93,0,0.4,7,0.2,5,8,73,5,0.04,0.008,0.249,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,1 tbsp,239,1 cup
02049,"THYME,FRSH",65.11,101,5.56,1.68,3.2,24.45,14,,405,17.45,160,106,609,9,1.81,0.555,1.719,,160.1,0.048,0.471,1.824,0.409,0.348,45,0,45,45,,0,4751,238,0,,2851,,,,,0,0,,0.467,0.081,0.532,0,0.8,1 tsp,0.4,.5 tsp
02050,VANILLA EXTRACT,52.58,288,0.06,0.06,0.26,12.65,0,12.65,11,0.12,12,6,148,9,0.11,0.072,0.23,0,0,0.011,0.095,0.425,0.035,0.026,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.004,0,4.2,1 tsp,13,1 tbsp
02051,"VANILLA EXTRACT,IMITN,ALCOHOL",64.46,237,0.05,0,0.22,2.41,0,,0,0.13,5,22,98,4,0.06,0.023,0.482,,0,0.008,0.071,0.318,0.026,0.019,0,0,0,0,,0,0,0,0,,,,,,,0,0,,,,,0,4.2,1 tsp,13,1 tbsp
02052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",85.58,56,0.03,0,0.01,14.4,0,14.4,3,0.05,1,0,0,3,0.01,0.003,0.001,0,0,0.003,0.029,0.129,0.011,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1 tsp,13,1 tbsp
02053,"VINEGAR,DISTILLED",94.78,18,0,0,0.02,0.04,0,0.04,6,0.03,1,4,2,2,0.01,0.006,0.055,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,1 tbsp,238,1 cup
02054,"CAPERS,CANNED",83.85,23,2.36,0.86,8.04,4.89,3.2,0.41,40,1.67,33,10,40,2348,0.32,0.374,0.078,1.2,4.3,0.018,0.139,0.652,0.027,0.023,23,0,23,23,6.5,0,138,7,0,0,83,0,0,0,0.88,0,0,24.6,0.233,0.063,0.304,0,8.6,"1 tbsp,  drained",,
02055,"HORSERADISH,PREPARED",85.08,48,1.18,0.69,1.76,11.29,3.3,7.99,56,0.42,27,31,246,420,0.83,0.058,0.126,2.8,24.9,0.008,0.024,0.386,0.093,0.073,57,0,57,57,6.5,0,2,0,0,0,1,0,0,10,0.01,0,0,1.3,0.09,0.13,0.339,0,5,1 tsp,15,1 tbsp
02063,"ROSEMARY,FRESH",67.77,131,3.31,5.86,2.35,20.7,14.1,,317,6.65,91,66,668,26,0.93,0.301,0.96,,21.8,0.036,0.152,0.912,0.804,0.336,109,0,109,109,,0,2924,146,0,,,,,,,0,0,,2.838,1.16,0.901,0,0.7,1 tsp,1.7,1 tbsp
02064,"PEPPERMINT,FRESH",78.65,70,3.75,0.94,1.76,14.89,8,,243,5.08,80,73,569,31,1.11,0.329,1.176,,31.8,0.082,0.266,1.706,0.338,0.129,114,0,114,114,,0,4248,212,0,,,,,,,0,0,,0.246,0.033,0.508,0,0.1,2 leaves,3.2,2 tbsp
02065,"SPEARMINT,FRESH",85.55,44,3.29,0.73,2.03,8.41,6.8,,199,11.87,63,60,458,30,1.09,0.24,1.118,,13.3,0.078,0.175,0.948,0.25,0.158,105,0,105,105,,0,4054,203,0,,,,,,,0,0,,0.191,0.025,0.394,0,0.3,2 leaves,11.4,2 tbsp
02066,"SPEARMINT,DRIED",11.3,285,19.93,6.03,10.7,52.04,29.8,,1488,87.47,602,276,1924,344,2.41,1.542,11.482,,0,0.288,1.421,6.561,1.399,2.579,530,0,530,530,,0,10579,529,0,,,,,,,0,0,,1.577,0.21,3.257,0,0.5,1 tsp,1.6,1 tbsp
02068,"VINEGAR,RED WINE",94.47,19,0.04,0,0.17,0.27,0,0,6,0.45,4,8,39,8,0.03,0.01,0.046,,0.5,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,14.9,1 tbsp,239,1 cup
02069,"VINEGAR,BALSAMIC",76.45,88,0.49,0,0.37,17.03,,14.95,27,0.72,12,19,112,23,0.08,0.026,0.131,,0,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,16,1 tbsp,255,1 cup
02073,"PACE,DRY TACO SEAS MIX",5.7,188,0,0,38.01,56.29,18.8,18.76,,6.75,,,,8068,,,,,45,,,,,,,,,,,,9381,,,,,,,,,,,,0,,,0,5.3,"2 tbsp,  (1 serving)",,
02074,"SEASONING MIX,DRY,SAZON,CORIANDER & ANNATTO",0.2,0,0,0,99.8,0,0,0,0,0,,,,17000,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,1,.25 tsp,,
02075,"SEASONING MIX,DRY,TACO,ORIGINAL",5.7,322,4.5,0,31.8,58,13.3,10.83,0,7.2,,,1000,7203,,,,,0,,,,,,0,,0,,,,3744,,,,,,,,,,,,0,,,0,5.7,2 tsp,,
02076,"SEASONING MIX,DRY,CHILI,ORIGINAL",10.75,335,10.82,7.3,14.56,56.56,10.8,8.67,0,3.9,,,,4616,,,,,5.9,,,,,,,,,,,,2816,,,,,,,,,,,,0,,5.556,0,9,1.33 tbsp,,
03000,CLIF Z BAR,7.74,409,5.55,9.72,2.26,74.72,8.3,30.56,444,2.7,82,244,333,375,1.15,0.187,1.748,14.8,39.1,0.411,0.1,0.478,0.588,0.073,20,16,4,31,22.5,0,7,0,0,0,4,0,0,61,0.98,0,0,8.7,2.721,2.447,3.319,0,,,,
