ID,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,li_form_B,ros,reprod_B,strategy,self_st,Breeding_sys,flw_muell,poll_vect_B,MycoFlor
Eriophyllum lanatum,,,,,,,ssv,c,SI,X,B`,in,OM
Erodium cicutarium,8.0,4.0,6.0,4.0,H,h,s,r,SC,AFXF,B,se,FM
Erophila verna,8.0,3.0,5.0,2.0,H,g,s,sr,SC,AO,AB,se,NM
Eruca sativa,,,,,H,h,s,cr,SI,X,AB,se,NM
Eryngium campestre,9.0,3.0,7.0,3.0,H,h,s,cs,SC,XF,B`,in,OM
Eryngium maritimum,9.0,4.0,6.0,4.0,H,h,s,cs,SC,XF,B`,in,FM
Eryngium planum,7.0,6.0,7.0,4.0,H,h,s,csr,SC,AFXF,B`,in,OM
Erysimum cheiranthoides,7.0,5.0,7.0,7.0,H,h,s,cr,SC,,AB,se,NM
Erysimum marschallianum,,,,,H,h,s,csr,,,AB,se,NM
Eschscholzia californica,,,,,H,h,s,r,I+,X,Po,in,FM
Euonymus europaea,,,,,N,r,s,c,,,A,in,OM
Eupatorium cannabinum,7.0,7.0,6.0,7.0,H,r,sv,c,SI,X,B`F,ge,OM
Euphorbia amygdaloides,4.0,5.0,6.0,5.0,C,h,sv,cs,SC,XF,A,in,OM
Euphorbia cyparissias,8.0,3.0,6.0,3.0,G,r,sv,csr,SC,X,A,se,OM
Euphorbia dulcis,4.0,5.0,7.0,5.0,G,r,sv,csr,SC,XF,A,in,OM
Euphorbia esula,8.0,4.0,7.0,4.0,G,r,sv,csr,SC,AFXF,A,se,OM
Euphorbia helioscopia,6.0,5.0,6.0,6.0,H,r,s,r,SC,XF,A,se,FM
Euphorbia peplus,6.0,4.0,7.0,6.0,T,r,s,r,SC,AF,A,se,FM
Euphorbia stricta,5.0,6.0,6.0,5.0,H,r,s,r,SC,XF,A,in,OM
Euphorbia virgata,,,,,G,r,sv,c,SC,XF,A,in,OM
Euphrasia frigida,7.0,5.0,3.0,2.0,T,r,s,r,SC,AF,BH,se,OM
Euphrasia hirtella,,,,,T,r,s,r,SC,AF,BH,se,NM
Euphrasia minima,,,,,T,r,s,r,SC,AF,BH,se,NM
Euphrasia nemorosa,7.0,5.0,4.0,1.0,T,r,s,r,SC,AF,BH,se,NM
Euphrasia officinalis,7.0,5.0,4.0,3.0,T,r,s,r,SC,AF,BH,se,NM
Euphrasia stricta,,,,,T,r,s,r,SC,AF,BH,se,FM
Fagopyrum esculentum,7.0,5.0,7.0,6.0,T,r,s,cr,C+,X,AB,se,NM
Fagopyrum tataricum,,,,,T,r,s,cr,SC,AO,AB,wi,OM
Fagus sylvatica,-3.0,5.0,5.0,5.0,M,r,s,c,SI,X,W,wi,OM
Fallopia convolvulus,7.0,4.0,6.0,5.0,T,r,s,cr,SC,AO,B,se,NM
Fallopia japonica,6.0,7.0,5.0,6.0,G,r,vvs,c,SI,X,B,in,FM
Fallopia sachalinensis,6.0,5.0,6.0,7.0,G,r,v,c,,X,B,in,NM
Festuca altissima,3.0,5.0,4.0,5.0,H,r,s,cs,SC,AFXF,W,wi,FM
Festuca arundinacea,7.0,6.0,7.0,6.0,H,h,s,c,I+,X,W,wi,OM
Festuca brevipila,8.0,3.0,4.0,2.0,H,h,s,cs,I+,X,W,wi,OM
Festuca gigantea,4.0,6.0,6.0,6.0,H,h,s,cs,SC,AFXF,W,wi,FM
Festuca heterophylla,4.0,4.0,5.0,4.0,H,h,s,c,I+,X,W,wi,OM
Festuca ovina,7.0,4.0,3.0,1.0,H,h,s,csr,SI,X,W,wi,FM
Festuca pallens,,,,,H,h,ssv,cs,SI,X,W,wi,OM
Festuca pratensis,7.0,5.0,6.0,6.0,H,h,s,c,I+,X,W,wi,OM
Festuca quadriflora,,,,,H,h,s,csr,,,W,wi,OM
Festuca rubra,7.0,5.0,5.0,5.0,H,h,sv,c,I+,X,W,wi,FM
Festuca rupicola,,,,,H,h,ssv,cs,SI,X,W,wi,OM
Festuca valesiaca,,,,,H,h,ssv,csr,SI,X,W,wi,OM
Filago arvensis,,,,,H,h,s,sr,SC,AF,B`,wi,OM
Filipendula ulmaria,6.0,8.0,6.0,5.0,H,h,sv,c,SC,AFXF,Po,se,FM
Filipendula vulgaris,7.0,3.0,8.0,2.0,H,h,sv,csr,SI,X,Po,wi,OM
Foeniculum vulgare,7.0,4.0,8.0,5.0,H,h,s,c,SC,X,A,ge,OM
Forsythia suspensa,,,,,N,r,v,c,SI,X,B,in,OM
Fragaria moschata,6.0,5.0,6.0,6.0,H,h,sv,csr,,X,AB,in,OM
Fragaria vesca,6.0,5.0,6.0,4.0,H,h,sv,csr,SC,XF,AB,se,FM
Fragaria viridis,,,,,H,h,sv,csr,SI,X,AB,in,OM
Frangula alnus,6.0,7.0,4.0,4.0,N,r,s,c,SI,X,AD,in,FM
Fraxinus excelsior,-4.0,6.0,7.0,6.0,M,r,s,c,,XF,W,wi,OM
Fraxinus ornus,,,,,M,r,s,c,C+,XF,B,in,OM
Fraxinus pennsylvanica,,,,,M,r,ssv,c,,X,W,wi,FM
Fumana procumbens,,,,,S,r,s,csr,SC,AO,Po,se,OM
Fumaria officinalis,6.0,5.0,6.0,6.0,T,h,s,r,SC,AF,H,se,FM
Fumaria vaillantii,7.0,3.0,8.0,5.0,T,r,s,r,SC,AF,H,se,FM
Gagea bohemica,9.0,2.0,4.0,2.0,G,r,vvs,csr,,,AB,pk,OM
Gagea lutea,4.0,6.0,7.0,7.0,G,r,sv,csr,,,AB,se,FM
Galanthus nivalis,5.0,6.0,7.0,7.0,G,r,sv,csr,SC,AFXF,BHb,in,OM
Galeobdolon argentatum,,,,,C,r,sv,cs,SC,AFXF,H,se,OM
Galeobdolon luteum,,,,,C,r,sv,cs,SC,AFXF,H,se,OM
Galeobdolon montanum,,,,,C,r,sv,cs,SC,XF,H,se,OM
Galeopsis bifida,7.0,5.0,6.0,6.0,T,r,s,cr,SC,AF,H,se,OM
Galeopsis segetum,7.0,4.0,3.0,3.0,T,r,s,cr,SC,XF,Hh,se,NM
Galeopsis speciosa,7.0,5.0,6.0,7.0,T,r,s,cr,SC,XF,Hh,se,OM
Galeopsis tetrahit,6.0,5.0,5.0,6.0,T,r,s,cr,SC,AF,Hh,se,NM
Galinsoga ciliata,,,,,T,r,s,cr,SC,AFXF,B`,se,OM
Galinsoga parviflora,7.0,4.0,5.0,7.0,T,r,s,cr,SC,AFXF,B`,se,OM
Galium album,,,,,H,r,sv,c,,AFXF,A,se,OM
Galium aparine,6.0,5.0,6.0,8.0,H,r,s,cr,SC,AF,A,se,FM
Galium boreale,6.0,5.0,7.0,2.0,G,r,sv,csr,,,A,se,OM
Galium lucidum,,,,,H,r,s,c,,,A,se,OM
Galium mollugo,7.0,4.0,6.0,4.0,H,r,s,c,,AFXF,A,se,FM
Galium odoratum,2.0,5.0,6.0,5.0,C,r,sv,s,,,A,se,FM
Galium palustre,6.0,9.0,5.0,4.0,H,r,sv,cs,SC,AFXF,A,se,FM
Galium saxatile,6.0,5.0,2.0,3.0,C,r,sv,cs,SI,X,A,in,FM
Galium schultesii,,,,,G,r,s,cs,,,A,se,OM
Galium spurium,7.0,5.0,7.0,5.0,T,r,s,cr,SC,AF,A,se,OM
Galium sterneri,9.0,4.0,7.0,1.0,H,r,sv,csr,SI,X,A,in,FM
Galium uliginosum,6.0,8.0,4.0,2.0,H,r,sv,csr,SC,AF,A,se,NM
Galium verum,7.0,4.0,5.0,2.0,H,r,sv,cs,,,A,wi,OM
Gaudinia fragilis,8.0,5.0,6.0,6.0,T,h,s,r,,,W,wi,OM
Genista tinctoria,7.0,4.0,6.0,1.0,S,r,s,cs,SI,X,H,in,OM
Gentiana acaulis,,,,,H,h,sv,csr,SC,XF,Hh,se,OM
Gentiana asclepiadea,6.0,6.0,5.0,2.0,H,r,sv,c,SC,AFXF,Hh,se,OM
Gentiana clusii,,,,,H,h,sv,csr,SC,XF,Hh,se,OM
Gentiana cruciata,,,,,H,h,s,csr,SC,XF,Hh,se,OM
Gentiana lutea,,,,,H,h,s,c,SC,X,A,se,OM
Gentiana nivalis,9.0,5.0,7.0,3.0,T,h,s,r,SC,AFXF,Ft,se,FM
Gentiana pneumonanthe,7.0,7.0,4.0,1.0,H,r,s,csr,SC,XF,Hh,se,FM
Gentiana punctata,,,,,H,h,s,c,SC,AFXF,Hh,in,OM
Gentiana verna,8.0,4.0,7.0,1.0,H,h,sv,csr,SC,AFXF,Ft,in,OM
Gentianella amarella,8.0,4.0,7.0,2.0,H,h,s,csr,SC,AO,HhF,se,OM
Gentianella campestris,8.0,5.0,4.0,2.0,H,h,s,csr,SC,AFXF,HhF,se,OM
Gentianella germanica,7.0,4.0,7.0,3.0,H,h,s,csr,SC,AFXF,HhF,se,OM
Geranium dissectum,6.0,4.0,7.0,5.0,H,h,s,cr,SC,AF,H,se,OM
Geranium lucidum,4.0,4.0,7.0,6.0,H,h,s,csr,SC,AFXF,B,se,FM
Geranium molle,7.0,4.0,5.0,4.0,H,h,s,r,SC,AF,B,se,FM
Geranium nodosum,,,,,H,h,sv,csr,SC,,B,in,OM
Geranium pratense,7.0,5.0,7.0,7.0,H,h,sv,c,SC,X,B,in,OM
Geranium purpureum,6.0,3.0,6.0,3.0,H,h,s,csr,SC,AO,B,se,OM
Geranium pusillum,7.0,4.0,6.0,7.0,H,h,s,c,SC,AF,B,se,OM
Geranium pyrenaicum,7.0,4.0,7.0,6.0,H,h,s,csr,SC,AFXF,B,se,OM
Geranium robertianum,5.0,6.0,6.0,6.0,H,h,s,csr,SC,AF,B,se,FM
Geranium rotundifolium,7.0,4.0,7.0,6.0,T,h,s,r,SC,AF,B,se,OM
Geranium sanguineum,7.0,3.0,7.0,3.0,H,h,sv,csr,SC,XF,B,se,FM
Geranium sibiricum,,,,,H,h,s,c,SC,AF,B,se,OM
Geranium sylvaticum,6.0,5.0,6.0,5.0,H,h,sv,c,SC,X,B,in,OM
Geum montanum,,,,,H,h,sv,csr,,,AB,se,OM
Geum reptans,,,,,H,h,sv,csr,,,AB,in,OM
Geum rivale,6.0,7.0,6.0,4.0,H,h,sv,csr,,,AB,se,FM
Geum urbanum,4.0,5.0,6.0,7.0,H,h,ssv,csr,SC,AF,AB,se,OM
Gladiolus palustris,,,,,G,r,sv,csr,SC,X,Hh,se,OM
Glaux maritima,6.0,7.0,7.0,5.0,H,r,sv,s,SC,AF,B,se,OM
Glechoma hederacea,5.0,6.0,6.0,7.0,G,r,sv,csr,C+,XF,Hh,in,FM
Glyceria fluitans,6.0,10.0,5.0,6.0,A,r,sv,cs,I+,X,W,wi,FM
Glyceria maxima,7.0,10.0,7.0,8.0,A,r,vvs,cs,,,W,wi,FM
Glyceria striata,,,,,H,h,sv,cs,,,W,wi,OM
Gnaphalium norvegicum,7.0,5.0,4.0,4.0,H,h,sv,csr,SC,AF,B`,se,OM
Gnaphalium supinum,7.0,7.0,3.0,3.0,H,h,sv,csr,SC,AF,B`,se,OM
Gnaphalium sylvaticum,7.0,5.0,4.0,3.0,H,h,sv,csr,SC,AF,B`,se,OM
Gnaphalium uliginosum,7.0,6.0,4.0,4.0,T,h,s,r,SC,AF,B`,se,OM
Goodyera repens,3.0,4.0,3.0,2.0,H,h,sv,csr,SC,XF,BHh,in,OM
Gratiola officinalis,,,,,H,r,sv,csr,,,H,in,OM
Guizotia abyssinica,,,,,T,r,s,cr,SI,X,B`,in,OM
Gymnadenia conopsea,7.0,6.0,7.0,3.0,G,h,s,csr,SC,AFXF,Fn,in,OM
Gymnadenia odoratissima,,,,,G,h,s,csr,SC,AFXF,F,in,OM
Gymnocarpium dryopteris,2.0,5.0,4.0,4.0,G,r,sv,cs,,X,,,FM
Gypsophila fastigiata,,,,,C,r,s,s,SC,XF,B,in,NM
Gypsophila repens,,,,,C,r,sv,csr,SC,AFXF,B,se,FM
Halimione portulacoides,,,,,C,r,sv,cs,SC,AFXF,Wb,wi,FM
Hammarbya paludosa,9.0,9.0,2.0,1.0,G,g,vvs,cs,SC,AFXF,AB,in,OM
Hedera helix,-4.0,5.0,6.0,6.0,N,r,sv,cs,SC,AFXF,A,in,OM
Helianthemum alpestre,,,,,S,r,s,csr,,,Po,wi,OM
Helianthemum apenninum,8.0,1.0,8.0,1.0,S,r,s,cs,,,Po,wi,OM
Helianthemum canum,8.0,2.0,9.0,1.0,S,r,ssv,cs,I+,X,Po,wi,OM
Helianthemum nummularium,7.0,4.0,7.0,2.0,S,r,ssv,cs,,,Po,wi,OM
Helianthus annuus,,,,,T,r,s,cr,SC,X,B`,in,OM
Helianthus tuberosus,8.0,6.0,7.0,8.0,G,r,vvs,c,SI,X,B`,in,OM
Helichrysum arenarium,,,,,H,h,sv,csr,,,B`,ge,OM
Helictotrichon pratense,,,,,H,h,ssv,cs,,,W,wi,OM
Helictotrichon pubescens,,,,,H,h,sv,c,C+,AFXF,W,wi,OM
Helictotrichon versicolor,,,,,H,h,sv,cs,,,W,wi,OM
Helleborus foetidus,5.0,4.0,8.0,3.0,C,h,s,cs,C+,XF,BHb,se,OM
Helleborus niger,,,,,H,g,sv,cs,,,B,se,OM
Hemerocallis lilioasphodelus,,,,,G,h,v,c,SI,X,Ft,in,OM
Hepatica nobilis,4.0,4.0,7.0,5.0,H,g,sv,csr,,,Po,se,OM
Heracleum mantegazzianum,7.0,6.0,6.0,8.0,H,h,s,c,SC,XF,A,ge,OM
Heracleum sphondylium,7.0,5.0,6.0,7.0,H,h,ssv,c,SC,XF,A,ge,FM
Herminium monorchis,7.0,5.0,8.0,2.0,G,h,sv,csr,SC,AFXF,Kl,se,OM
Hesperis matronalis,6.0,6.0,7.0,7.0,H,h,s,cs,SI,X,B,se,FM
Hieracium alpinum,,,,,H,h,sv,csr,,,B`,se,OM
Hieracium aurantiacum,,,,,H,h,sv,csr,,,B`,se,OM
Hieracium bifidum,,,,,H,h,sv,csr,,,B`,se,OM
Hieracium caespitosum,,,,,H,h,sv,csr,,,B`,se,OM
Hieracium echioides,,,,,H,r,s,csr,,,B`,se,OM
Hieracium hoppeanum,,,,,H,g,sv,,,,B`,se,OM
Hieracium lachenalii,,,,,H,h,sv,cs,,,B`,se,OM
Hieracium lactucella,,,,,H,g,sv,csr,,,B`,se,OM
Hieracium laevigatum,,,,,H,r,sv,cs,,,B`,se,FM
Hieracium murorum,,,,,H,h,sv,csr,,,B`,se,FM
Hieracium pilosella,,,,,H,g,sv,csr,SI,X,B`,se,OM
Hieracium umbellatum,6.0,4.0,4.0,2.0,H,r,sv,cs,,,B`,se,OM
Hieracium villosum,,,,,H,h,sv,,,,B`,se,OM
Hieracium vulgatum,,,,,H,h,sv,,,,B`,se,FM
Hierochloe australis,,,,,H,h,sv,c,,,W,wi,OM
Hierochloe odorata,6.0,6.0,4.0,2.0,G,h,sv,cs,,,W,wi,OM
Himantoglossum hircinum,7.0,3.0,9.0,2.0,G,h,s,csr,SC,X,BHb,in,OM
Hippocrepis comosa,7.0,3.0,7.0,2.0,H,h,s,csr,SI,X,H,in,OM
Hippocrepis emerus,,,,,N,r,ssv,cs,SI,X,Hh,in,OM
Hippophae rhamnoides,8.0,5.0,7.0,5.0,N,r,sv,c,SC,X,W,wi,FM
Hirschfeldia incana,8.0,3.0,7.0,5.0,T,h,s,cr,SI,X,AB,in,FM
Holcus lanatus,7.0,6.0,6.0,5.0,H,h,sv,c,I+,X,W,wi,FM
Holcus mollis,5.0,5.0,2.0,3.0,G,h,vvs,csr,I+,X,W,wi,OM
Holosteum umbellatum,8.0,3.0,7.0,2.0,H,h,s,sr,SC,AF,AB,se,NM
Homogyne alpina,5.0,6.0,3.0,2.0,H,h,sv,csr,,,B`F,ge,OM
Honckenya peploides,9.0,5.0,7.0,6.0,H,r,sv,s,SC,AF,AB,wi,NM
Hordelymus europaeus,3.0,4.0,7.0,6.0,H,h,sv,cs,,,W,wi,OM
Hordeum jubatum,9.0,5.0,7.0,6.0,H,h,ssv,sr,SC,AO,W,se,OM
Hordeum murinum,8.0,4.0,7.0,5.0,H,h,s,r,SC,AO,W,se,OM
Hordeum vulgare,,,,,H,h,s,cr,SC,AF,W,wi,FM
Hottonia palustris,6.0,11.0,5.0,4.0,A,h,sv,,I+,X,B,in,FM
Humulus lupulus,6.0,7.0,6.0,8.0,H,r,sv,c,,X,W,wi,FM
Huperzia selago,4.0,6.0,2.0,2.0,C,r,sv,csr,,,,,FM
Hyacinthoides non-scripta,5.0,5.0,5.0,6.0,G,g,vvs,csr,I+,X,H,in,OM
Hydrilla verticillata,6.0,12.0,9.0,3.0,A,r,vvs,,SC,AFXF,Hy,wa,NM
Hydrocotyle vulgaris,6.0,8.0,3.0,2.0,H,r,sv,s,SC,AO,A,se,FM
Hymenophyllum tunbrigense,,,,,H,r,vvs,,,,,,OM
Hypericum elegans,,,,,H,r,sv,cs,SC,AFXF,Po,se,OM
Hypericum hirsutum,6.0,5.0,6.0,5.0,H,r,s,c,SC,AFXF,Po,se,NM
Hypericum humifusum,7.0,6.0,3.0,3.0,H,r,s,csr,SC,AF,Po,se,NM
Hypericum maculatum,6.0,6.0,3.0,2.0,H,r,sv,csr,SC,AFXF,Po,se,OM
Hypericum montanum,5.0,4.0,7.0,2.0,H,r,sv,csr,SC,AFXF,Po,se,NM
Hypericum perforatum,7.0,4.0,6.0,4.0,H,r,sv,c,SC,AFXF,Po,se,OM
Hypericum pulchrum,4.0,5.0,3.0,2.0,H,r,s,c,SC,AFXF,Po,se,OM
Hypericum tetrapterum,7.0,8.0,6.0,4.0,H,r,sv,csr,SC,AFXF,Po,se,FM
Hypochaeris glabra,8.0,3.0,3.0,1.0,H,g,s,sr,SI,X,B`,in,OM
Hypochaeris maculata,7.0,4.0,6.0,2.0,H,h,ssv,csr,I+,X,B`,in,OM
Hypochaeris radicata,,,,,H,g,ssv,csr,SI,X,B`,in,FM
Hyssopus officinalis,,,,,S,r,s,cs,SC,XF,H,in,OM
Iberis amara,,,,,H,r,s,r,SI,X,AB,in,FM
Ilex aquifolium,-4.0,5.0,4.0,5.0,M,r,sv,c,SC,X,A,in,OM
Impatiens capensis,7.0,9.0,7.0,6.0,T,r,s,r,SC,XF,H,in,OM
Impatiens glandulifera,5.0,8.0,7.0,7.0,T,r,s,cr,SC,XF,Hh,in,FM
Impatiens noli-tangere,,,,,T,r,s,sr,SC,XF,Hh,kl,FM
Impatiens parviflora,,,,,T,r,s,sr,SC,AF,H,se,FM
Inula britannica,,,,,H,h,sv,csr,,,B`,in,OM
Inula helenium,7.0,5.0,7.0,5.0,H,h,sv,c,,,B`,in,OM
Inula hirta,,,,,H,r,sv,cs,,,B`,in,OM
Inula salicina,7.0,5.0,8.0,3.0,H,r,sv,cs,,,B`,ge,OM
Iris germanica,,,,,G,h,vvs,c,SC,X,Hh,in,OM
Iris pseudacorus,6.0,9.0,6.0,6.0,G,h,sv,cs,SC,X,HhDs,in,FM
Iris pumila,,,,,G,h,sv,csr,SC,X,Hh,in,OM
Iris sibirica,8.0,8.0,6.0,2.0,G,h,sv,cs,SC,X,Hh,in,OM
Iris versicolor,,,,,G,h,sv,cs,SC,X,Hh,se,OM
Isatis tinctoria,8.0,3.0,8.0,3.0,H,h,ssv,cs,SI,X,AB,in,FM
Isoetes echinospora,7.0,12.0,5.0,1.0,A,g,sv,,,X,,,FM
Isoetes lacustris,6.0,12.0,4.0,1.0,A,g,sv,,,X,,,FM
Jasione montana,7.0,2.0,3.0,2.0,H,h,s,csr,SI,X,B`,in,FM
Juglans regia,6.0,5.0,7.0,7.0,M,r,s,c,SC,AFXF,W,wi,FM
Juncus acutiflorus,8.0,8.0,4.0,2.0,G,h,sv,cs,SC,AFXF,W,wi,FM
Juncus alpinus,,,,,H,h,sv,cs,SC,AFXF,W,wi,FM
Juncus articulatus,8.0,9.0,5.0,2.0,H,r,sv,csr,SC,XF,W,wi,FM
Juncus balticus,8.0,8.0,5.0,2.0,G,r,sv,cs,SC,AFXF,W,wi,FM
Juncus bufonius,7.0,7.0,3.0,4.0,T,h,s,r,SC,AO,W,wi,FM
Juncus bulbosus,6.0,10.0,4.0,2.0,A,h,sv,csr,SC,AFXF,W,wi,NM
Juncus conglomeratus,7.0,7.0,4.0,3.0,H,r,sv,c,SC,AFXF,W,wi,NM
Juncus dudleyi,,,,,H,r,sv,c,SC,AFXF,W,wi,FM
Juncus effusus,7.0,7.0,3.0,4.0,H,r,sv,c,SC,AFXF,W,wi,FM
Juncus ensifolius,,,,,H,h,sv,cs,SC,AFXF,W,wi,NM
Juncus filiformis,7.0,8.0,3.0,3.0,G,r,vvs,csr,SC,AFXF,W,wi,FM
Juncus gerardii,8.0,8.0,7.0,5.0,G,h,sv,s,SC,AFXF,W,wi,FM
Juncus inflexus,7.0,7.0,7.0,4.0,H,r,ssv,c,SC,AF,W,wi,FM
Juncus maritimus,8.0,8.0,8.0,5.0,G,h,sv,cs,SC,XF,W,wi,NM
Juncus squarrosus,7.0,7.0,1.0,1.0,H,h,sv,csr,SC,AFXF,W,wi,FM
Juncus stygius,,,,,H,h,sv,csr,SC,AFXF,W,wi,NM
Juncus tenuis,6.0,6.0,5.0,4.0,H,h,ssv,csr,SC,AF,W,wi,FM
Juncus trifidus,8.0,4.0,2.0,2.0,H,r,sv,csr,SC,XF,W,wi,FM
Juncus triglumis,8.0,9.0,6.0,2.0,H,r,sv,csr,SC,AFXF,W,wi,FM
Juniperus communis,7.0,4.0,5.0,3.0,M,r,s,c,,X,W,wi,OM
Juniperus sabina,,,,,N,r,s,c,,X,W,wi,OM
Kalmia angustifolia,,,,,N,r,vvs,c,SC,XF,Po,in,OM
Kickxia spuria,7.0,4.0,7.0,3.0,T,r,s,r,SC,AF,H,se,OM
Knautia arvensis,7.0,3.0,6.0,4.0,H,h,s,c,SC,XF,B`,se,OM
Knautia kitaibelii,,,,,H,h,s,c,SC,XF,B`,in,OM
Kobresia simpliciuscula,8.0,8.0,8.0,1.0,H,h,sv,csr,SC,AFXF,W,wi,NM
Koeleria glauca,,,,,H,h,sv,cs,,,W,wi,FM
Koeleria macrantha,7.0,3.0,7.0,2.0,H,h,s,cs,SI,X,W,wi,OM
Koeleria pyramidata,,,,,H,h,sv,cs,,,W,wi,FM
Koeleria vallesiana,8.0,1.0,8.0,1.0,H,h,sv,cs,SI,X,W,wi,OM
Laburnum anagyroides,6.0,5.0,7.0,7.0,M,r,s,c,SI,X,H,in,OM
Lactuca serriola,8.0,4.0,6.0,4.0,H,h,s,cr,SC,AF,B`,se,OM
Lagarosiphon major,6.0,12.0,7.0,6.0,A,r,v,,,X,Hy,wa,OM
Lamium album,6.0,5.0,6.0,8.0,H,r,sv,csr,SC,AFXF,H,se,FM
Lamium amplexicaule,6.0,4.0,7.0,6.0,H,r,s,r,SC,AO,H,se,OM
Lamium purpureum,6.0,5.0,7.0,7.0,H,r,s,r,SC,AFXF,H,se,FM
Lappula squarrosa,8.0,3.0,7.0,6.0,H,h,s,csr,SC,AO,B,se,OM
Lapsana communis,5.0,4.0,6.0,7.0,H,h,s,cr,SC,AF,B`,se,OM
Larix decidua,-8.0,4.0,5.0,3.0,M,r,s,c,I+,X,W,wi,OM
Larix kaempferi,,,,,M,r,s,c,,XF,W,wi,OM
Laser trilobum,,,,,H,h,s,c,SC,XF,A,ge,OM
Laserpitium siler,,,,,H,h,s,c,SC,XF,A,in,OM
Lathraea squamaria,3.0,6.0,7.0,6.0,G,r,sv,,,,Hh,wi,NM
Lathyrus aphaca,7.0,3.0,8.0,3.0,T,r,s,r,SC,AF,H,se,OM
Lathyrus japonicus,9.0,5.0,7.0,6.0,H,r,ssv,cs,SC,AFXF,H,in,OM
Lathyrus linifolius,6.0,5.0,3.0,2.0,G,r,sv,csr,SC,XF,H,in,OM
Lathyrus niger,5.0,3.0,7.0,3.0,G,r,sv,csr,SC,XF,H,in,FM
Lathyrus odoratus,,,,,T,r,s,cr,SC,AFXF,H,se,OM
Lathyrus pratensis,7.0,6.0,6.0,5.0,H,r,ssv,c,C+,XF,H,in,FM
Lathyrus sativus,,,,,T,r,s,cr,SC,AF,H,se,OM
Lathyrus sylvestris,7.0,4.0,7.0,2.0,H,r,ssv,c,SC,XF,H,kl,OM
Lathyrus tuberosus,7.0,4.0,8.0,4.0,H,r,sv,c,SC,XF,H,in,OM
Lathyrus vernus,,,,,G,r,sv,csr,SC,AFXF,H,in,OM
Lavandula angustifolia,,,,,S,r,s,cs,SC,AFXF,H,se,OM
Ledum groenlandicum,,,,,N,r,sv,cs,SC,AFXF,AB,wi,OM
Ledum palustre,,,,,N,r,s,cs,SC,AFXF,AB,se,OM
Leersia oryzoides,7.0,10.0,7.0,7.0,A,h,sv,c,SC,AO,W,kl,FM
Lemna gibba,7.0,11.0,7.0,8.0,A,r,vvs,,SC,AFXF,W,wi,NM
Lemna minor,7.0,11.0,6.0,6.0,A,r,vvs,,SC,AFXF,W,wi,NM
Lemna trisulca,7.0,12.0,7.0,5.0,A,r,vvs,,SC,AFXF,W,wi,NM
Leontodon autumnalis,8.0,6.0,6.0,4.0,H,g,sv,csr,I+,X,B`,in,OM
Leontodon hispidus,7.0,4.0,6.0,3.0,H,g,sv,csr,I+,X,B`,in,OM
Leontopodium alpinum,,,,,H,h,sv,csr,,,B`,in,OM
Lepidium campestre,7.0,4.0,7.0,5.0,H,h,s,sr,SC,AO,AB,se,NM
Lepidium densiflorum,,,,,H,h,s,r,SC,AF,AB,se,NM
Lepidium latifolium,8.0,5.0,7.0,5.0,H,r,sv,c,SC,AF,AB,se,NM
Lepidium perfoliatum,8.0,5.0,6.0,5.0,H,h,s,r,SC,AO,AB,se,NM
Lepidium ruderale,9.0,4.0,7.0,6.0,H,h,s,r,SC,AO,AB,se,NM
Lepidium sativum,,,,,H,r,s,r,SC,AFXF,AB,se,NM
Lepidium virginicum,8.0,4.0,6.0,5.0,H,h,s,r,SC,AF,AB,se,FM
Leucanthemopsis alpina,,,,,H,h,sv,,,,B`,ge,FM
Leucanthemum vulgare,7.0,4.0,6.0,3.0,H,h,sv,c,SC,AFXF,B`,se,OM
Leucojum aestivum,6.0,8.0,7.0,7.0,G,g,sv,csr,,,B,in,OM
Leucojum vernum,6.0,6.0,7.0,6.0,G,g,sv,csr,,,B,in,FM
Levisticum officinale,,,,,H,h,sv,c,SC,AFXF,A,in,OM
Leymus arenarius,8.0,4.0,7.0,4.0,G,h,vvs,c,,,W,wi,OM
Ligustrum vulgare,6.0,4.0,7.0,3.0,N,r,s,c,,,B,se,OM
Lilium bulbiferum,,,,,G,h,sv,csr,SI,X,Ft,in,OM
Lilium martagon,3.0,4.0,7.0,5.0,G,r,s,csr,SC,X,Fn,se,OM
Limodorum abortivum,,,,,G,r,sv,csr,SC,AF,B,se,OM
Limonium vulgare,9.0,8.0,8.0,6.0,H,g,vvs,s,SI,X,B,in,FM
Linaria alpina,,,,,G,r,sv,csr,SC,XF,Hh,in,OM
Linaria dalmatica,,,,,G,r,sv,csr,SI,X,H,in,OM
Linaria repens,8.0,5.0,7.0,5.0,G,r,sv,cs,C+,XF,H,in,FM
Linaria vulgaris,7.0,4.0,7.0,5.0,G,r,sv,csr,SC,X,H,in,FM
Lindernia dubia,,,,,T,r,s,sr,SC,AO,B,se,OM
Linnaea borealis,4.0,5.0,2.0,2.0,C,r,vvs,csr,SC,X,B,se,OM
Linum austriacum,,,,,H,r,s,cs,SI,X,B,in,OM
Linum catharticum,7.0,5.0,7.0,2.0,H,h,s,sr,SC,AF,B,se,FM
Linum flavum,,,,,H,r,s,cs,SI,X,B,in,OM
Linum perenne,7.0,3.0,8.0,2.0,H,r,sv,cs,SI,X,B,in,OM
Linum usitatissimum,8.0,5.0,6.0,6.0,H,r,s,r,SC,AFXF,B,se,FM
