ID,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,li_form_B,ros,reprod_B,strategy,self_st,Breeding_sys,flw_muell,poll_vect_B,MycoFlor
Asplenium septentrionale,8.0,2.0,2.0,2.0,H,g,s,csr,SC,I,,,FM
Asplenium trichomanes,5.0,3.0,6.0,2.0,H,g,s,csr,SC,I,,,FM
Asplenium viride,,,,,H,g,s,csr,,XF,,,FM
Aster alpinus,,,,,H,h,sv,csr,,,B`,ge,FM
Aster amellus,,,,,H,h,sv,cs,,,B`,se,OM
Aster bellidiastrum,,,,,H,g,sv,csr,,,B`,ge,OM
Aster laevis,,,,,H,h,sv,c,SI,X,B`,ge,OM
Aster lanceolatus,,,,,H,h,sv,c,,,B`,ge,OM
Aster novae-angliae,7.0,5.0,7.0,6.0,H,h,sv,c,SI,X,B`,ge,OM
Aster novi-belgii,7.0,6.0,7.0,6.0,H,h,sv,c,SI,X,B`,ge,OM
Aster tripolium,9.0,8.0,7.0,6.0,H,h,sv,cs,,,B`,se,OM
Astragalus alpinus,9.0,4.0,6.0,2.0,H,r,s,csr,SC,,Hh,in,NM
Astragalus cicer,7.0,4.0,8.0,2.0,H,r,sv,c,SC,,H,se,OM
Astragalus danicus,8.0,3.0,8.0,2.0,H,r,sv,csr,,,H,in,OM
Astragalus frigidus,,,,,G,r,sv,cs,,,H,se,NM
Astragalus glycyphyllos,6.0,4.0,7.0,3.0,H,r,s,c,,,Hh,in,NM
Astragalus onobrychis,,,,,H,r,s,cs,,,H,in,OM
Astragalus penduliflorus,,,,,H,r,s,cs,,,H,in,OM
Astrantia major,5.0,6.0,7.0,5.0,H,h,sv,cs,SC,AFXF,B`,ge,FM
Athyrium distentifolium,5.0,6.0,5.0,6.0,H,g,s,cs,,,,,FM
Athyrium filix-femina,3.0,6.0,5.0,6.0,H,g,sv,cs,I+,X,,,FM
Atriplex glabriuscula,9.0,6.0,7.0,8.0,T,r,s,cs,SC,AFXF,Wb,wi,NM
Atriplex hortensis,7.0,5.0,7.0,8.0,T,r,s,cr,SC,AFXF,Wb,wi,NM
Atriplex littoralis,9.0,6.0,7.0,6.0,T,r,s,s,SC,AFXF,Wb,wi,FM
Atriplex patula,6.0,5.0,7.0,7.0,T,r,s,cr,SC,XF,Wb,wi,OM
Atriplex prostrata,8.0,6.0,7.0,7.0,T,r,s,s,SC,AF,Wb,wi,NM
Atriplex rosea,,,,,T,r,s,cr,SC,AFXF,Wb,wi,NM
Atriplex sagittata,,,,,T,r,s,cr,SC,AFXF,Wb,wi,FM
Avena fatua,6.0,4.0,7.0,7.0,T,h,s,cr,SC,AF,W,wi,OM
Avena nuda,,,,,T,h,s,cr,SC,AO,W,se,OM
Avena sativa,8.0,5.0,6.0,7.0,T,h,s,cr,SC,AO,W,wi,FM
Avena sterilis,7.0,5.0,7.0,7.0,T,h,s,,SC,AO,W,wi,OM
Azolla filiculoides,6.0,11.0,6.0,8.0,A,r,sv,,,X,,,NM
Baldellia ranunculoides,8.0,10.0,6.0,2.0,A,g,sv,,SC,X,AB,se,OM
Ballota nigra,7.0,4.0,7.0,6.0,C,r,s,c,SC,AFXF,H,se,FM
Barbarea vulgaris,7.0,6.0,6.0,6.0,H,h,ssv,cr,SC,XF,AB,se,NM
Bartsia alpina,8.0,8.0,7.0,2.0,G,r,sv,csr,SC,AFXF,Hh,wi,FM
Bassia scoparia,8.0,4.0,6.0,6.0,T,r,s,cr,SC,XF,W,wi,NM
Beckmannia syzigachne,7.0,9.0,7.0,3.0,T,h,s,cr,,,W,wi,OM
Bellis perennis,8.0,5.0,5.0,4.0,H,g,sv,csr,SC,AO,B`,se,FM
Berberis thunbergii,,,,,N,r,s,c,SC,X,ABDe,se,OM
Berberis vulgaris,7.0,4.0,8.0,3.0,N,r,s,c,SC,X,ABDe,se,OM
Berteroa incana,9.0,3.0,6.0,4.0,H,h,s,csr,SI,X,AB,se,NM
Berula erecta,7.0,10.0,7.0,6.0,A,r,sv,cs,SC,AFXF,A,se,FM
Beta vulgaris,9.0,5.0,7.0,8.0,H,h,s,cs,SI,X,Wb,wi,OM
Betonica officinalis,6.0,4.0,5.0,3.0,H,r,sv,c,SC,AF,H,se,OM
Betula humilis,,,,,N,r,s,cs,SI,X,W,wi,OM
Betula nana,7.0,8.0,1.0,1.0,N,r,vvs,cs,I+,X,W,wi,OM
Betula pendula,-7.0,5.0,4.0,3.0,M,r,s,c,SI,X,W,wi,OM
Betula pubescens,-7.0,7.0,3.0,3.0,M,r,s,cs,SI,X,W,wi,OM
Bidens frondosa,,,,,T,r,s,cr,SC,AO,B`,se,OM
Bidens tripartita,8.0,8.0,7.0,7.0,T,r,s,cr,SC,AF,B`,se,FM
Biscutella laevigata,,,,,H,h,ssv,csr,SI,X,AB,in,FM
Bistorta officinalis,,,,,H,h,sv,cs,,,B`,ge,FM
Bistorta vivipara,,,,,H,h,vvs,csr,,,B,se,FM
Blackstonia perfoliata,8.0,5.0,8.0,2.0,T,r,s,sr,SC,AO,B,se,FM
Blechnum spicant,3.0,6.0,2.0,3.0,H,g,s,cs,,X,,,FM
Blysmus rufus,8.0,8.0,7.0,4.0,G,h,sv,csr,SC,AFXF,W,wi,OM
Bolboschoenus maritimus,8.0,10.0,8.0,7.0,G,h,sv,cs,SI,X,W,wi,OM
Borago officinalis,8.0,4.0,7.0,6.0,H,h,s,cr,I+,X,H,se,FM
Bothriochloa ischaemum,,,,,H,h,sv,csr,,,W,wi,OM
Botrychium lunaria,8.0,4.0,5.0,2.0,G,r,s,s,,,,,OM
Botrychium multifidum,,,,,G,r,s,csr,,,,,OM
Botrychium simplex,,,,,G,r,s,csr,,,,,OM
Botrychium virginianum,,,,,G,r,s,csr,,,,,OM
Brachypodium pinnatum,6.0,3.0,7.0,3.0,H,h,sv,cs,,,W,wi,FM
Brachypodium rupestre,,,,,H,h,sv,cs,,,W,wi,OM
Brachypodium sylvaticum,3.0,5.0,6.0,5.0,H,r,sv,cs,SC,X,W,wi,OM
Brassica juncea,,,,,T,h,s,cr,SC,,AB,se,NM
Brassica napus,7.0,4.0,7.0,7.0,T,h,s,cr,C+,AFXF,AB,se,FM
Brassica nigra,8.0,5.0,7.0,6.0,T,h,s,cr,I+,X,AB,se,NM
Brassica oleracea,8.0,4.0,7.0,8.0,C,h,s,cr,I+,X,AB,in,FM
Brassica rapa,7.0,5.0,7.0,6.0,T,h,s,cr,I+,X,AB,se,NM
Briza media,8.0,5.0,5.0,2.0,H,h,sv,csr,I+,X,W,wi,FM
Bromus arvensis,6.0,4.0,8.0,4.0,H,h,s,cr,SC,AO,W,se,OM
Bromus benekenii,,,,,H,h,sv,cs,,,W,wi,OM
Bromus carinatus,,,,,H,h,sv,cr,SC,AF,W,wi,OM
Bromus catharticus,,,,,H,h,sv,cr,SC,AO,W,se,OM
Bromus erectus,,,,,H,h,sv,cs,SI,X,W,wi,OM
Bromus hordeaceus,7.0,4.0,6.0,3.0,H,h,s,cr,SC,AO,W,wi,FM
Bromus inermis,,,,,H,h,sv,c,I+,X,W,wi,OM
Bromus japonicus,8.0,4.0,8.0,3.0,H,h,s,r,SC,AO,W,se,OM
Bromus madritensis,,,,,H,h,s,cr,SC,AF,W,se,OM
Bromus racemosus,6.0,6.0,5.0,5.0,T,h,s,cr,SC,AFXF,W,wi,OM
Bromus secalinus,6.0,4.0,5.0,4.0,H,h,s,cr,SC,AO,W,wi,OM
Bromus squarrosus,,,,,H,h,s,cr,SC,AO,W,se,OM
Bromus sterilis,,,,,H,h,s,cr,SC,AO,W,se,FM
Bromus tectorum,,,,,H,h,s,r,SC,AO,W,wi,FM
Bryonia dioica,7.0,5.0,7.0,6.0,H,r,s,c,SC,X,B,in,OM
Buddleja davidii,7.0,4.0,7.0,4.0,N,r,s,c,,,F,in,FM
Buglossoides arvensis,,,,,H,h,s,cr,SC,AF,B,se,NM
Bunias orientalis,7.0,5.0,7.0,5.0,H,h,sv,c,SC,AFXF,AB,se,FM
Bupleurum falcatum,6.0,3.0,8.0,3.0,H,h,s,csr,SC,XF,A,in,OM
Bupleurum longifolium,,,,,H,h,sv,c,SC,XF,A,in,OM
Butomus umbellatus,6.0,10.0,7.0,7.0,A,g,vvs,cs,SC,AFXF,AB,in,NM
Buxus sempervirens,4.0,4.0,8.0,4.0,N,r,s,cs,,,A,wi,OM
Cakile maritima,9.0,6.0,7.0,7.0,T,r,s,s,SI,X,B,se,FM
Calamagrostis arundinacea,,,,,H,h,sv,c,SI,X,W,wi,OM
Calamagrostis canescens,6.0,9.0,5.0,5.0,H,h,sv,cs,SI,X,W,wi,FM
Calamagrostis epigejos,7.0,5.0,6.0,6.0,G,h,sv,c,SI,X,W,wi,FM
Calamagrostis stricta,8.0,9.0,4.0,2.0,H,h,sv,cs,SI,X,W,wi,OM
Calamagrostis varia,,,,,H,h,sv,cs,SI,X,W,wi,OM
Calamagrostis villosa,,,,,H,h,sv,c,SI,X,W,wi,OM
Calamintha nepeta,,,,,H,r,sv,c,SC,XF,H,in,OM
Calendula officinalis,8.0,5.0,7.0,7.0,H,h,s,cr,SI,X,B`,in,FM
Calla palustris,6.0,10.0,6.0,4.0,G,h,sv,cs,,,D,se,NM
Callistephus chinensis,,,,,T,h,s,r,SC,AF,B`,ge,OM
Callitriche cophocarpa,,,,,A,r,vvs,,SC,AFXF,W,wi,NM
Callitriche hamulata,,,,,A,r,sv,,SC,AF,W,wi,FM
Callitriche palustris,,,,,A,r,sv,,SC,AO,W,wi,NM
Callitriche stagnalis,6.0,10.0,4.0,4.0,A,r,sv,,SC,AF,W,wi,NM
Calluna vulgaris,7.0,5.0,1.0,1.0,N,r,ssv,cs,I+,XF,BHb,wi,OM
Caltha palustris,6.0,9.0,5.0,4.0,H,h,sv,csr,SI,X,AB,in,FM
Calystegia sepium,7.0,6.0,7.0,7.0,G,r,sv,c,SC,AFXF,Fn,se,OM
Calystegia soldanella,9.0,4.0,7.0,4.0,H,r,sv,cs,SI,X,B,in,NM
Camelina microcarpa,7.0,4.0,8.0,4.0,T,h,s,sr,SC,AFXF,AB,se,FM
Campanula alpina,,,,,H,h,s,csr,SI,X,Hb,se,OM
Campanula cervicaria,,,,,H,h,s,csr,I+,X,Hb,se,OM
Campanula glomerata,7.0,4.0,7.0,3.0,H,h,sv,csr,SI,X,Hb,se,OM
Campanula latifolia,4.0,5.0,7.0,6.0,H,h,sv,cs,SI,X,Hb,in,OM
Campanula patula,7.0,5.0,6.0,5.0,H,h,s,csr,SI,X,Hb,se,OM
Campanula persicifolia,5.0,4.0,7.0,3.0,H,h,sv,csr,C+,X,Hb,in,FM
Campanula rapunculoides,6.0,4.0,7.0,4.0,H,h,sv,csr,I+,X,Hb,in,OM
Campanula rotundifolia,7.0,4.0,4.0,2.0,H,h,s,csr,I+,X,Hb,in,OM
Campanula scheuchzeri,,,,,H,h,s,csr,C+,X,Hb,in,OM
Campanula sibirica,,,,,H,h,s,csr,SI,X,Hb,in,OM
Campanula thyrsoides,,,,,H,h,s,csr,SI,X,Hb,in,OM
Campanula trachelium,4.0,5.0,7.0,6.0,H,h,sv,cs,SI,X,Hb,in,FM
Cannabis sativa,7.0,6.0,6.0,7.0,T,r,s,cr,,X,W,wi,OM
Capsella bursa-pastoris,7.0,5.0,6.0,6.0,H,h,s,r,SC,AO,AB,se,FM
Caragana arborescens,,,,,N,r,s,c,C+,X,H,in,OM
Cardamine amara,5.0,9.0,6.0,4.0,H,r,sv,csr,I+,XF,AB,se,NM
Cardamine flexuosa,5.0,7.0,4.0,5.0,H,h,s,csr,SC,AO,AB,se,FM
Cardamine hirsuta,6.0,5.0,5.0,6.0,H,h,sv,csr,SC,AF,AB,se,FM
Cardamine impatiens,4.0,5.0,7.0,7.0,H,h,sv,csr,,,AB,in,NM
Cardamine pratensis,4.0,6.0,5.0,4.0,H,h,vvs,csr,SI,X,B,se,NM
Cardamine trifolia,3.0,6.0,7.0,7.0,G,r,sv,csr,,,AB,se,NM
Cardaminopsis arenosa,,,,,H,h,s,csr,SI,X,AB,in,OM
Cardaria draba,,,,,H,h,sv,csr,SC,,AB,se,NM
Carduus acanthoides,,,,,H,h,s,cr,SC,AFXF,B`,se,OM
Carduus nutans,7.0,4.0,8.0,5.0,H,h,s,cr,SC,AFXF,B`,se,OM
Carex acuta,7.0,9.0,6.0,4.0,G,h,sv,cs,SI,X,W,wi,NM
Carex acutiformis,6.0,9.0,7.0,5.0,G,g,sv,cs,SC,XF,W,wi,NM
Carex alba,,,,,G,g,sv,csr,SC,XF,W,wi,NM
Carex aquatilis,8.0,10.0,4.0,3.0,G,h,sv,cs,SI,X,W,wi,NM
Carex arenaria,8.0,3.0,5.0,2.0,G,h,vvs,cs,SC,AFXF,W,wi,FM
Carex atherodes,,,,,G,h,sv,cs,SC,AFXF,W,wi,FM
Carex atrata,7.0,5.0,4.0,2.0,H,g,sv,cs,SC,XF,W,wi,NM
Carex bigelowii,7.0,5.0,1.0,2.0,G,h,sv,csr,SC,XF,W,wi,NM
Carex brizoides,,,,,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex brunnescens,,,,,H,h,sv,cs,SC,AFXF,W,wi,FM
Carex buxbaumii,7.0,8.0,7.0,2.0,G,h,sv,cs,SC,X,W,wi,FM
Carex canescens,,,,,H,g,sv,csr,SC,XF,W,wi,NM
Carex capillaris,8.0,6.0,7.0,2.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex capitata,,,,,H,h,sv,csr,SC,AO,W,wi,NM
Carex caryophyllea,7.0,4.0,6.0,2.0,G,g,sv,csr,SC,XF,W,wi,NM
